year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","ACEH BARAT","ID-1107","ACEH","ID-11","501.83999999994"
"2015","INDONESIA","ID","ACEH BARAT DAYA","ID-1112","ACEH","ID-11","121.65529411765"
"2015","INDONESIA","ID","ACEH BESAR","ID-1108","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH JAYA","ID-1116","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH SELATAN","ID-1103","ACEH","ID-11","257.632588235301"
"2015","INDONESIA","ID","ACEH SINGKIL","ID-1102","ACEH","ID-11","4.26176470588235"
"2015","INDONESIA","ID","ACEH TAMIANG","ID-1114","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH TENGAH","ID-1106","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH TENGGARA","ID-1104","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH TIMUR","ID-1105","ACEH","ID-11","0"
"2015","INDONESIA","ID","ACEH UTARA","ID-1111","ACEH","ID-11","0"
"2015","INDONESIA","ID","AGAM","ID-1307","SUMATERA BARAT","ID-13","0"
"2015","INDONESIA","ID","ALOR","ID-5307","NUSA TENGGARA TIMUR","ID-53","10959.3307058822"
"2015","INDONESIA","ID","AMBON (KOTA)","ID-8171","MALUKU","ID-81","0"
"2015","INDONESIA","ID","ASAHAN","ID-1208","SUMATERA UTARA","ID-12","94.2300000000023"
"2015","INDONESIA","ID","ASMAT","ID-9415","PAPUA","ID-94","237.232588235302"
"2015","INDONESIA","ID","BADUNG","ID-5103","BALI","ID-51","0"
"2015","INDONESIA","ID","BALANGAN","ID-6311","KALIMANTAN SELATAN","ID-63","348.269294117657"
"2015","INDONESIA","ID","BALIKPAPAN (KOTA)","ID-6471","KALIMANTAN TIMUR","ID-64","0"
"2015","INDONESIA","ID","BANDA ACEH (KOTA)","ID-1171","ACEH","ID-11","0"
"2015","INDONESIA","ID","BANDAR LAMPUNG (KOTA)","ID-1871","LAMPUNG","ID-18","0"
"2015","INDONESIA","ID","BANDUNG","ID-3204","JAWA BARAT","ID-32","321.450000000007"
"2015","INDONESIA","ID","BANDUNG BARAT","ID-3217","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BANDUNG (KOTA)","ID-3273","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BANGGAI","ID-7202","SULAWESI TENGAH","ID-72","7468.74741176454"
"2015","INDONESIA","ID","BANGGAI KEPULAUAN","ID-7201","SULAWESI TENGAH","ID-72","0"
"2015","INDONESIA","ID","BANGGAI LAUT","ID-7211","SULAWESI TENGAH","ID-72","0"
"2015","INDONESIA","ID","BANGKA","ID-1901","KEP. BANGKA BELITUNG","ID-19","3401.81682352872"
"2015","INDONESIA","ID","BANGKA BARAT","ID-1903","KEP. BANGKA BELITUNG","ID-19","2087.15964705866"
"2015","INDONESIA","ID","BANGKALAN","ID-3526","JAWA TIMUR","ID-35","21.15"
"2015","INDONESIA","ID","BANGKA SELATAN","ID-1905","KEP. BANGKA BELITUNG","ID-19","8294.47058823759"
"2015","INDONESIA","ID","BANGKA TENGAH","ID-1904","KEP. BANGKA BELITUNG","ID-19","6785.8009411765"
"2015","INDONESIA","ID","BANGLI","ID-5106","BALI","ID-51","0"
"2015","INDONESIA","ID","BANJAR","ID-6303","KALIMANTAN SELATAN","ID-63","53640.3829411926"
"2015","INDONESIA","ID","BANJARBARU (KOTA)","ID-6372","KALIMANTAN SELATAN","ID-63","9.78247058823529"
"2015","INDONESIA","ID","BANJAR (KOTA)","ID-3279","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BANJARMASIN (KOTA)","ID-6371","KALIMANTAN SELATAN","ID-63","666.855176470577"
