year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2001","INDONESIA","ID","ACEH BARAT","ID-1107","ACEH","ID-11","215737.764000248"
"2001","INDONESIA","ID","ACEH BARAT DAYA","ID-1112","ACEH","ID-11","220655.913176127"
"2001","INDONESIA","ID","ACEH BESAR","ID-1108","ACEH","ID-11","251780.389058963"
"2001","INDONESIA","ID","ACEH JAYA","ID-1116","ACEH","ID-11","50390.6544706384"
"2001","INDONESIA","ID","ACEH SELATAN","ID-1103","ACEH","ID-11","710227.31470463"
"2001","INDONESIA","ID","ACEH SINGKIL","ID-1102","ACEH","ID-11","242695.76717669"
"2001","INDONESIA","ID","ACEH TAMIANG","ID-1114","ACEH","ID-11","15691.7625882499"
"2001","INDONESIA","ID","ACEH TENGAH","ID-1106","ACEH","ID-11","394550.701765181"
"2001","INDONESIA","ID","ACEH TENGGARA","ID-1104","ACEH","ID-11","435701.217880516"
"2001","INDONESIA","ID","ACEH TIMUR","ID-1105","ACEH","ID-11","539882.881762488"
"2001","INDONESIA","ID","ACEH UTARA","ID-1111","ACEH","ID-11","48801.1944706178"
"2001","INDONESIA","ID","AGAM","ID-1307","SUMATERA BARAT","ID-13","89179.2148235976"
"2001","INDONESIA","ID","ALOR","ID-5307","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","AMBON (KOTA)","ID-8171","MALUKU","ID-81","2480.34388235291"
"2001","INDONESIA","ID","ASAHAN","ID-1208","SUMATERA UTARA","ID-12","18070.3097647102"
"2001","INDONESIA","ID","ASMAT","ID-9415","PAPUA","ID-94","1544302.75975506"
"2001","INDONESIA","ID","BADUNG","ID-5103","BALI","ID-51","1211.46282352937"
"2001","INDONESIA","ID","BALANGAN","ID-6311","KALIMANTAN SELATAN","ID-63","1928.75647058793"
"2001","INDONESIA","ID","BALIKPAPAN (KOTA)","ID-6471","KALIMANTAN TIMUR","ID-64","9.08999999999999"
"2001","INDONESIA","ID","BANDA ACEH (KOTA)","ID-1171","ACEH","ID-11","0"
"2001","INDONESIA","ID","BANDAR LAMPUNG (KOTA)","ID-1871","LAMPUNG","ID-18","0"
"2001","INDONESIA","ID","BANDUNG","ID-3204","JAWA BARAT","ID-32","42146.8754117722"
"2001","INDONESIA","ID","BANDUNG BARAT","ID-3217","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANDUNG (KOTA)","ID-3273","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANGGAI","ID-7202","SULAWESI TENGAH","ID-72","742397.498469983"
"2001","INDONESIA","ID","BANGGAI KEPULAUAN","ID-7201","SULAWESI TENGAH","ID-72","59028.760235337"
"2001","INDONESIA","ID","BANGGAI LAUT","ID-7211","SULAWESI TENGAH","ID-72","4252.45517647112"
"2001","INDONESIA","ID","BANGKA","ID-1901","KEP. BANGKA BELITUNG","ID-19","60982.4841176911"
"2001","INDONESIA","ID","BANGKA BARAT","ID-1903","KEP. BANGKA BELITUNG","ID-19","39225.1905882595"
"2001","INDONESIA","ID","BANGKALAN","ID-3526","JAWA TIMUR","ID-35","167.099294117648"
"2001","INDONESIA","ID","BANGKA SELATAN","ID-1905","KEP. BANGKA BELITUNG","ID-19","16261.0154117691"
"2001","INDONESIA","ID","BANGKA TENGAH","ID-1904","KEP. BANGKA BELITUNG","ID-19","17308.3447058888"
"2001","INDONESIA","ID","BANGLI","ID-5106","BALI","ID-51","65.1850588235305"
"2001","INDONESIA","ID","BANJAR","ID-6303","KALIMANTAN SELATAN","ID-63","109476.400941315"
"2001","INDONESIA","ID","BANJARBARU (KOTA)","ID-6372","KALIMANTAN SELATAN","ID-63","8.34741176470587"
"2001","INDONESIA","ID","BANJAR (KOTA)","ID-3279","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANJARMASIN (KOTA)","ID-6371","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BANJARNEGARA","ID-3304","JAWA TENGAH","ID-33","21723.8403529487"
"2001","INDONESIA","ID","BANTAENG","ID-7303","SULAWESI SELATAN","ID-73","2145.76023529351"
"2001","INDONESIA","ID","BANTUL","ID-3402","D I YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","BANYUASIN","ID-1607","SUMATERA SELATAN","ID-16","16483.1075294162"
"2001","INDONESIA","ID","BANYUMAS","ID-3302","JAWA TENGAH","ID-33","22137.4715294122"
"2001","INDONESIA","ID","BANYUWANGI","ID-3510","JAWA TIMUR","ID-35","53467.4675294513"
"2001","INDONESIA","ID","BARITO KUALA","ID-6304","KALIMANTAN SELATAN","ID-63","5476.29705882294"
"2001","INDONESIA","ID","BARITO SELATAN","ID-6204","KALIMANTAN TENGAH","ID-62","399451.604116511"
"2001","INDONESIA","ID","BARITO TIMUR","ID-6212","KALIMANTAN TENGAH","ID-62","25593.7771764669"
"2001","INDONESIA","ID","BARITO UTARA","ID-6205","KALIMANTAN TENGAH","ID-62","1269355.18410996"
"2001","INDONESIA","ID","BARRU","ID-7310","SULAWESI SELATAN","ID-73","37477.1657647266"
"2001","INDONESIA","ID","BATAM (KOTA)","ID-2171","KEP. RIAU","ID-21","43528.6701176757"
"2001","INDONESIA","ID","BATANG","ID-3325","JAWA TENGAH","ID-33","3820.16223529398"
"2001","INDONESIA","ID","BATANG HARI","ID-1504","JAMBI","ID-15","322470.547763932"
"2001","INDONESIA","ID","BATU BARA","ID-1219","SUMATERA UTARA","ID-12","166.27517647059"
"2001","INDONESIA","ID","BAU-BAU (KOTA)","ID-7472","SULAWESI TENGGARA","ID-74","131.085529411767"
"2001","INDONESIA","ID","BEKASI","ID-3216","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BEKASI (KOTA)","ID-3275","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BELITUNG","ID-1902","KEP. BANGKA BELITUNG","ID-19","114423.194117758"
"2001","INDONESIA","ID","BELITUNG TIMUR","ID-1906","KEP. BANGKA BELITUNG","ID-19","22406.9311764721"
"2001","INDONESIA","ID","BELU","ID-5306","NUSA TENGGARA TIMUR","ID-53","1206.05858823525"
"2001","INDONESIA","ID","BENER MERIAH","ID-1117","ACEH","ID-11","1653.11541176474"
"2001","INDONESIA","ID","BENGKALIS","ID-1408","RIAU","ID-14","290313.904940106"
"2001","INDONESIA","ID","BENGKAYANG","ID-6102","KALIMANTAN BARAT","ID-61","247798.188000055"
"2001","INDONESIA","ID","BENGKULU (KOTA)","ID-1771","BENGKULU","ID-17","0"
"2001","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","13954.5465882484"
"2001","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","164.827058823534"
"2001","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","156533.634705745"
"2001","INDONESIA","ID","BERAU","ID-6405","KALIMANTAN TIMUR","ID-64","1684321.8299895"
"2001","INDONESIA","ID","BIAK NUMFOR","ID-9409","PAPUA","ID-94","190821.407647259"
"2001","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2001","INDONESIA","ID","BINJAI (KOTA)","ID-1276","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","BINTAN","ID-2102","KEP. RIAU","ID-21","14642.8087058809"
"2001","INDONESIA","ID","BIREUEN","ID-1110","ACEH","ID-11","35686.9874117907"
"2001","INDONESIA","ID","BITUNG (KOTA)","ID-7172","SULAWESI UTARA","ID-71","1229.24752941179"
"2001","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","12278.7384705871"
"2001","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","10.26"
"2001","INDONESIA","ID","BOALEMO","ID-7501","GORONTALO","ID-75","179116.473529626"
"2001","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","70861.2896470829"
"2001","INDONESIA","ID","BOGOR (KOTA)","ID-3271","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","10.89"
"2001","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","382093.087412156"
"2001","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7110","SULAWESI UTARA","ID-71","17021.0523529595"
"2001","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7111","SULAWESI UTARA","ID-71","140.726823529414"
"2001","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7107","SULAWESI UTARA","ID-71","234950.778000284"
"2001","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","65220.5047059133"
"2001","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","4809.38329411717"
"2001","INDONESIA","ID","BONE","ID-7311","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BONE BOLANGO","ID-7504","GORONTALO","ID-75","20138.0043529493"
"2001","INDONESIA","ID","BOVEN DIGOEL","ID-9413","PAPUA","ID-94","2989320.30668659"
"2001","INDONESIA","ID","BOYOLALI","ID-3309","JAWA TENGAH","ID-33","4.23"
"2001","INDONESIA","ID","BREBES","ID-3329","JAWA TENGAH","ID-33","512.55705882347"
"2001","INDONESIA","ID","BULELENG","ID-5108","BALI","ID-51","0"
"2001","INDONESIA","ID","BULUKUMBA","ID-7302","SULAWESI SELATAN","ID-73","9298.78835294034"
"2001","INDONESIA","ID","BULUNGAN","ID-6502","KALIMANTAN UTARA","ID-65","379617.390706257"
"2001","INDONESIA","ID","BUNGO","ID-1509","JAMBI","ID-15","36225.7980000322"
"2001","INDONESIA","ID","BUOL","ID-7207","SULAWESI TENGAH","ID-72","493435.9087061"
"2001","INDONESIA","ID","BURU","ID-8104","MALUKU","ID-81","500233.33235139"
"2001","INDONESIA","ID","BURU SELATAN","ID-8109","MALUKU","ID-81","3957.35188235302"
"2001","INDONESIA","ID","BUTON","ID-7401","SULAWESI TENGGARA","ID-74","126371.162117764"
"2001","INDONESIA","ID","BUTON SELATAN","ID-7415","SULAWESI TENGGARA","ID-74","0.532941176470588"
"2001","INDONESIA","ID","BUTON TENGAH","ID-7414","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON UTARA","ID-7409","SULAWESI TENGGARA","ID-74","45418.0101177011"
"2001","INDONESIA","ID","CIAMIS","ID-3207","JAWA BARAT","ID-32","16794.2467058843"
"2001","INDONESIA","ID","CIANJUR","ID-3203","JAWA BARAT","ID-32","63905.639294145"
"2001","INDONESIA","ID","CILACAP","ID-3301","JAWA TENGAH","ID-33","13037.1843529455"
"2001","INDONESIA","ID","CILEGON (KOTA)","ID-3672","BANTEN","ID-36","0"
"2001","INDONESIA","ID","CIREBON","ID-3209","JAWA BARAT","ID-32","1.08"
"2001","INDONESIA","ID","CIREBON (KOTA)","ID-3274","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","DAIRI","ID-1210","SUMATERA UTARA","ID-12","98653.9048236048"
"2001","INDONESIA","ID","DEIYAI","ID-9436","PAPUA","ID-94","15511.2430588402"
"2001","INDONESIA","ID","DELI SERDANG","ID-1212","SUMATERA UTARA","ID-12","3953.43141176425"
"2001","INDONESIA","ID","DEMAK","ID-3321","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","DENPASAR (KOTA)","ID-5171","BALI","ID-51","0"
"2001","INDONESIA","ID","DEPOK (KOTA)","ID-3276","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","DHARMASRAYA","ID-1311","SUMATERA BARAT","ID-13","128918.828470368"
"2001","INDONESIA","ID","DOGIYAI","ID-9434","PAPUA","ID-94","61247.2722353673"
"2001","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","48648.4912941582"
"2001","INDONESIA","ID","DONGGALA","ID-7205","SULAWESI TENGAH","ID-72","684099.563646017"
"2001","INDONESIA","ID","DUMAI (KOTA)","ID-1473","RIAU","ID-14","5697.55623529369"
