year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2001","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3624507.14787839"
"2001","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63751.6108235658"
"2001","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65992.4495294607"
"2001","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","268292.020941126"
"2001","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2001","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2001","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","349659.221647401"
"2001","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2169651.52905704"
"2001","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","294202.777058897"
"2001","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88502.1907058932"
"2001","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","266492.848235468"
"2001","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9764927.14863462"
"2001","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1055357.19847054"
"2001","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8256303.55724713"
"2001","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6625388.92511008"
"2001","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","4017612.28938358"
"2001","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","270607.341882544"
"2001","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","230685.605294285"
"2001","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","266876.576470817"
"2001","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3090020.41304763"
"2001","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2276623.80988256"
"2001","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","453460.692353367"
"2001","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","172761.734823559"
"2001","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25309104.0238574"
"2001","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9743077.8797211"
"2001","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3519404.42187891"
"2001","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","367317.112941516"
"2001","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1197839.50517627"
"2001","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5519168.68763541"
"2001","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1674836.25141033"
"2001","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","700878.122471303"
