year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","INDONESIA","ID","ACEH BARAT","ID-1107","ACEH","ID-11","452.31564705883"
"2001","INDONESIA","ID","ACEH BARAT DAYA","ID-1112","ACEH","ID-11","160.970117647059"
"2001","INDONESIA","ID","ACEH BESAR","ID-1108","ACEH","ID-11","46.7728235294118"
"2001","INDONESIA","ID","ACEH JAYA","ID-1116","ACEH","ID-11","32.8087058823529"
"2001","INDONESIA","ID","ACEH SELATAN","ID-1103","ACEH","ID-11","350.784705882353"
"2001","INDONESIA","ID","ACEH SINGKIL","ID-1102","ACEH","ID-11","1157.76317647061"
"2001","INDONESIA","ID","ACEH TAMIANG","ID-1114","ACEH","ID-11","28.5885882352941"
"2001","INDONESIA","ID","ACEH TENGAH","ID-1106","ACEH","ID-11","559.136823529413"
"2001","INDONESIA","ID","ACEH TENGGARA","ID-1104","ACEH","ID-11","100.71"
"2001","INDONESIA","ID","ACEH TIMUR","ID-1105","ACEH","ID-11","231.999529411765"
"2001","INDONESIA","ID","ACEH UTARA","ID-1111","ACEH","ID-11","51.4768235294117"
"2001","INDONESIA","ID","AGAM","ID-1307","SUMATERA BARAT","ID-13","207.780000000003"
"2001","INDONESIA","ID","ALOR","ID-5307","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","AMBON (KOTA)","ID-8171","MALUKU","ID-81","0"
"2001","INDONESIA","ID","ASAHAN","ID-1208","SUMATERA UTARA","ID-12","217.570235294121"
"2001","INDONESIA","ID","ASMAT","ID-9415","PAPUA","ID-94","205.853647058826"
"2001","INDONESIA","ID","BADUNG","ID-5103","BALI","ID-51","0"
"2001","INDONESIA","ID","BALANGAN","ID-6311","KALIMANTAN SELATAN","ID-63","2.25"
"2001","INDONESIA","ID","BALIKPAPAN (KOTA)","ID-6471","KALIMANTAN TIMUR","ID-64","0"
"2001","INDONESIA","ID","BANDA ACEH (KOTA)","ID-1171","ACEH","ID-11","0"
"2001","INDONESIA","ID","BANDAR LAMPUNG (KOTA)","ID-1871","LAMPUNG","ID-18","0"
"2001","INDONESIA","ID","BANDUNG","ID-3204","JAWA BARAT","ID-32","113.948823529412"
"2001","INDONESIA","ID","BANDUNG BARAT","ID-3217","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANDUNG (KOTA)","ID-3273","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANGGAI","ID-7202","SULAWESI TENGAH","ID-72","683.591647058829"
"2001","INDONESIA","ID","BANGGAI KEPULAUAN","ID-7201","SULAWESI TENGAH","ID-72","165.507176470589"
"2001","INDONESIA","ID","BANGGAI LAUT","ID-7211","SULAWESI TENGAH","ID-72","0"
"2001","INDONESIA","ID","BANGKA","ID-1901","KEP. BANGKA BELITUNG","ID-19","181.91929411765"
"2001","INDONESIA","ID","BANGKA BARAT","ID-1903","KEP. BANGKA BELITUNG","ID-19","136.230352941177"
"2001","INDONESIA","ID","BANGKALAN","ID-3526","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BANGKA SELATAN","ID-1905","KEP. BANGKA BELITUNG","ID-19","17.01"
"2001","INDONESIA","ID","BANGKA TENGAH","ID-1904","KEP. BANGKA BELITUNG","ID-19","19.35"
"2001","INDONESIA","ID","BANGLI","ID-5106","BALI","ID-51","0"
"2001","INDONESIA","ID","BANJAR","ID-6303","KALIMANTAN SELATAN","ID-63","129.716823529414"
"2001","INDONESIA","ID","BANJARBARU (KOTA)","ID-6372","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BANJAR (KOTA)","ID-3279","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANJARMASIN (KOTA)","ID-6371","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BANJARNEGARA","ID-3304","JAWA TENGAH","ID-33","64.2155294117651"
"2001","INDONESIA","ID","BANTAENG","ID-7303","SULAWESI SELATAN","ID-73","3.16764705882353"
"2001","INDONESIA","ID","BANTUL","ID-3402","D I YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","BANYUASIN","ID-1607","SUMATERA SELATAN","ID-16","29.879294117647"
"2001","INDONESIA","ID","BANYUMAS","ID-3302","JAWA TENGAH","ID-33","28.71"
"2001","INDONESIA","ID","BANYUWANGI","ID-3510","JAWA TIMUR","ID-35","73.3475294117647"
"2001","INDONESIA","ID","BARITO KUALA","ID-6304","KALIMANTAN SELATAN","ID-63","6.82658823529412"
"2001","INDONESIA","ID","BARITO SELATAN","ID-6204","KALIMANTAN TENGAH","ID-62","1104.20752941178"
"2001","INDONESIA","ID","BARITO TIMUR","ID-6212","KALIMANTAN TENGAH","ID-62","750.169411764656"
"2001","INDONESIA","ID","BARITO UTARA","ID-6205","KALIMANTAN TENGAH","ID-62","2007.77858823533"
"2001","INDONESIA","ID","BARRU","ID-7310","SULAWESI SELATAN","ID-73","34.02"
"2001","INDONESIA","ID","BATAM (KOTA)","ID-2171","KEP. RIAU","ID-21","139.139647058825"
"2001","INDONESIA","ID","BATANG","ID-3325","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BATANG HARI","ID-1504","JAMBI","ID-15","1387.1110588235"
"2001","INDONESIA","ID","BATU BARA","ID-1219","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","BAU-BAU (KOTA)","ID-7472","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BEKASI","ID-3216","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BEKASI (KOTA)","ID-3275","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BELITUNG","ID-1902","KEP. BANGKA BELITUNG","ID-19","352.334470588241"
"2001","INDONESIA","ID","BELITUNG TIMUR","ID-1906","KEP. BANGKA BELITUNG","ID-19","46.8137647058824"
"2001","INDONESIA","ID","BELU","ID-5306","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","BENER MERIAH","ID-1117","ACEH","ID-11","2.25"
"2001","INDONESIA","ID","BENGKALIS","ID-1408","RIAU","ID-14","8634.19941176507"
"2001","INDONESIA","ID","BENGKAYANG","ID-6102","KALIMANTAN BARAT","ID-61","530.34635294118"
"2001","INDONESIA","ID","BENGKULU (KOTA)","ID-1771","BENGKULU","ID-17","0"
