year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","4097.69223529415"
"2001","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","5.13"
"2001","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","1.26"
"2001","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","1906.40400000002"
"2001","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2001","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2001","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","595.103294117652"
"2001","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","17097.834"
"2001","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","458.828470588236"
"2001","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","134.076705882353"
"2001","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","366.56435294118"
"2001","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","12709.8815294119"
"2001","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","2771.67564705879"
"2001","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","15928.4654117647"
"2001","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","7170.69494117653"
"2001","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","9032.17094117591"
"2001","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","753.65788235295"
"2001","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","253.257882352942"
"2001","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","850.853647058835"
"2001","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","546.385411764709"
"2001","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","1587.13305882354"
"2001","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","514.52964705883"
"2001","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","49.5896470588235"
"2001","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","11356.5374117643"
"2001","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","6162.14858823534"
"2001","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","75254.8616470557"
"2001","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","2677.7798823527"
"2001","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","2374.35494117646"
"2001","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","6818.83164705884"
"2001","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","2704.13082352943"
"2001","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","961.11776470589"
"2001","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","8424.13588235295"
"2001","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","1898.63823529414"
"2001","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","9180.5848235307"
"2002","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","2935.92776470591"
"2002","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","10.26"
"2002","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","10.62"
"2002","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","1422.1457647059"
"2002","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2002","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2002","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","2394.0847058824"
"2002","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","16031.5048235287"
"2002","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","187.102941176471"
"2002","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","81.629294117647"
"2002","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","401.215411764712"
"2002","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","17141.0181176472"
"2002","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","5946.16164705845"
